order_id,product_id,quantity,price_per_unit
1,63,3,448.94
1,68,3,153.56
2,43,2,286.58
2,79,1,287.76
2,49,3,268.15
2,1,3,418.39
3,9,4,456.86
3,67,2,117.03
3,74,4,222.66
3,64,3,368.23
3,59,2,281.07
4,63,2,446.62
4,100,5,220.76
4,57,2,217.96
4,77,2,70.11
4,39,2,56.0
4,75,3,58.61
5,7,4,195.23
5,54,4,359.58
5,89,2,480.92
5,3,2,368.83
5,26,5,235.93
5,98,4,83.77
6,79,5,307.9
6,37,2,135.31
6,67,4,75.95
7,53,1,214.64
7,73,2,47.3
7,74,1,14.87
7,4,4,174.87
8,52,1,483.71
8,68,3,185.08
9,51,5,309.41
9,81,3,123.29
9,32,2,429.28
9,72,3,467.32
10,79,1,380.01
10,66,4,324.84
10,81,3,20.9
10,69,4,98.09
10,78,4,366.04
11,26,4,221.69
11,88,1,422.16
11,15,4,42.64
11,13,3,315.32
11,54,1,488.15
11,52,3,145.24
12,62,1,364.91
12,35,3,425.58
13,43,4,136.26
13,23,2,318.47
13,31,5,195.99
14,85,3,457.39
14,36,5,32.06
14,28,1,166.74
14,58,3,406.21
15,43,1,370.28
15,79,1,355.17
15,55,2,282.39
15,85,2,199.18
15,82,3,459.94
16,30,2,84.08
16,11,3,236.41
16,92,4,106.77
16,43,2,290.31
16,18,4,136.72
16,45,3,82.08
17,84,2,344.33
18,28,5,258.23
18,75,1,148.07
18,4,2,8.52
18,59,3,499.41
18,97,5,327.56
19,31,5,98.78
19,76,2,196.4
20,88,3,238.95
20,38,2,389.49
20,36,5,49.29
20,44,5,468.23
21,62,1,365.71
21,75,3,362.89
21,57,2,356.81
21,74,4,317.06
22,4,4,386.4
22,74,4,237.79
22,49,1,168.28
23,90,5,64.48
23,41,4,476.24
23,48,1,104.19
24,73,1,466.66
24,49,5,471.26
24,67,2,203.72
24,17,4,101.07
25,9,4,163.35
26,4,3,36.03
27,85,5,154.16
27,28,1,171.81
28,52,4,386.63
28,19,2,299.3
28,12,2,256.62
28,45,5,346.5
29,93,3,93.17
29,42,3,241.17
29,52,1,11.91
29,51,3,416.77
29,84,1,295.63
30,17,3,88.56
30,2,3,236.77
30,65,5,168.6
30,59,2,14.3
30,93,1,351.53
31,75,2,481.44
31,38,5,321.8
31,7,2,92.9
31,94,5,382.09
32,58,3,241.58
32,83,1,297.9
33,4,3,222.2
33,99,3,115.27
34,65,2,466.56
34,94,5,21.39
34,92,2,56.44
34,97,3,76.31
35,25,4,482.77
35,70,4,131.8
35,23,3,291.68
36,50,5,412.11
36,8,2,455.79
36,63,4,467.71
36,68,1,447.15
37,89,4,85.49
37,93,3,431.0
37,68,1,166.47
38,55,5,491.69
38,38,4,192.85
38,72,3,170.6
38,56,4,210.34
38,100,2,288.8
38,63,1,236.81
39,17,4,116.08
39,95,1,252.59
39,60,1,413.69
39,66,2,245.13
39,15,1,290.11
39,55,5,39.82
40,10,1,239.73
40,82,5,78.1
40,61,2,496.71
40,79,5,171.98
40,33,5,40.49
40,56,4,368.73
41,35,4,85.28
41,59,4,16.79
41,80,2,355.17
41,28,1,133.11
42,31,3,351.8
42,40,1,6.49
42,73,4,208.15
42,49,1,272.52
42,74,4,102.49
42,6,2,311.22
43,13,4,117.05
43,32,5,497.18
43,34,1,407.56
43,95,3,116.43
43,18,5,70.14
43,34,5,18.34
44,60,2,184.12
44,98,2,486.47
44,43,4,189.85
44,75,1,384.36
44,3,4,6.47
44,26,2,153.34
45,92,4,387.98
45,46,5,46.95
45,26,3,491.07
46,34,4,56.33
46,64,1,190.51
46,95,4,104.75
46,80,4,334.22
47,6,5,56.31
48,19,4,157.9
48,56,4,223.19
48,86,3,408.48
48,52,1,46.93
48,24,3,387.16
49,87,4,38.04
49,2,3,376.05
49,27,2,454.1
50,87,4,47.18
50,100,4,373.86
50,100,5,279.33
51,95,5,308.2
51,14,1,63.1
51,16,1,376.26
52,9,4,321.83
53,4,4,334.87
53,84,4,447.44
53,18,2,396.67
53,95,4,185.67
53,23,1,78.95
