order_id,customer_id,order_date,total_amount
1,17,2026-01-11,1807.5
2,269,2026-01-11,2920.54
3,283,2026-01-11,4618.97
4,204,2026-01-11,2861.0099999999998
5,255,2026-01-11,5433.469999999999
6,110,2026-01-11,2113.92
7,247,2026-01-11,1023.59
8,16,2026-01-11,1038.95
9,209,2026-01-11,4177.4400000000005
10,26,2026-01-11,3598.59
11,262,2026-01-11,3349.3100000000004
12,32,2026-01-11,1641.65
13,224,2026-01-11,2161.9300000000003
14,111,2026-01-11,2917.84
15,271,2026-01-11,3068.41
16,46,2026-01-11,2678.21
17,215,2026-01-11,688.66
18,275,2026-01-11,4592.29
19,297,2026-01-11,886.7
20,259,2026-01-11,4083.4300000000003
21,32,2026-01-11,3436.24
22,225,2026-01-11,2665.04
23,64,2026-01-11,2331.55
24,37,2026-01-11,3634.6800000000003
25,293,2026-01-11,653.4
26,154,2026-01-11,108.09
27,263,2026-01-11,942.6099999999999
28,138,2026-01-11,4390.86
29,228,2026-01-11,2560.87
30,163,2026-01-11,2199.12
31,41,2026-01-11,4668.13
32,94,2026-01-11,1022.64
33,148,2026-01-11,1012.4099999999999
34,50,2026-01-11,1381.8799999999999
35,118,2026-01-11,3333.3199999999997
36,36,2026-01-11,5290.12
37,300,2026-01-11,1801.43
38,184,2026-01-11,5397.42
39,238,2026-01-11,2110.0699999999997
40,232,2026-01-11,4160.92
41,150,2026-01-11,1251.73
42,185,2026-01-11,3199.4100000000003
43,105,2026-01-11,4153.349999999999
44,151,2026-01-11,2817.5
45,241,2026-01-11,3259.88
46,43,2026-01-11,2171.71
47,196,2026-01-11,281.55
48,252,2026-01-11,3958.21
49,157,2026-01-11,2188.51
50,167,2026-01-11,3080.81
51,263,2026-01-11,1980.36
52,236,2026-01-11,1287.32
53,105,2026-01-11,4744.21
54,172,2026-01-11,1777.0500000000002
55,237,2026-01-11,3358.81
56,236,2026-01-11,796.56
57,87,2026-01-11,983.27
58,174,2026-01-11,841.79
59,79,2026-01-11,403.88
60,172,2026-01-11,2157.54
61,79,2026-01-11,4106.4800000000005
62,213,2026-01-11,2262.19
63,201,2026-01-11,2057.54
64,72,2026-01-11,29.08
65,77,2026-01-11,1117.6399999999999
66,240,2026-01-11,114.74000000000001
67,264,2026-01-11,2651.32
68,120,2026-01-11,937.78
69,236,2026-01-11,4808.41
70,105,2026-01-11,5724.59
71,55,2026-01-11,2907.8599999999997
72,224,2026-01-11,1405.1100000000001
73,223,2026-01-11,4735.76
74,105,2026-01-11,4916.21
75,135,2026-01-11,1386.03
76,41,2026-01-11,4891.39
77,100,2026-01-11,2123.06
78,30,2026-01-11,767.36
79,30,2026-01-11,309.21
80,160,2026-01-11,620.08
81,18,2026-01-11,800.92
82,246,2026-01-11,2884.4399999999996
83,287,2026-01-11,1853.41
84,91,2026-01-11,402.07
85,264,2026-01-11,1601.84
86,128,2026-01-11,1855.07
87,146,2026-01-11,834.1500000000001
88,117,2026-01-11,2270.6
89,76,2026-01-11,449.92
90,115,2026-01-11,2088.42
91,262,2026-01-11,3061.59
92,16,2026-01-11,6197.34
93,205,2026-01-11,3451.6400000000003
94,69,2026-01-11,195.59
95,173,2026-01-11,763.92
96,56,2026-01-11,3898.95
97,130,2026-01-11,3114.8100000000004
98,85,2026-01-11,3254.6099999999997
99,225,2026-01-11,1442.52
100,52,2026-01-11,5248.799999999999
101,176,2026-01-11,2749.07
102,237,2026-01-11,2725.78
103,282,2026-01-11,6263.93
104,154,2026-01-11,2356.95
105,55,2026-01-11,1150.33
106,182,2026-01-11,3586.16
107,77,2026-01-11,5794.0
108,142,2026-01-11,3235.9799999999996
109,215,2026-01-11,2476.25
110,222,2026-01-11,4038.37
111,201,2026-01-11,5172.709999999999
112,169,2026-01-11,2318.39
113,188,2026-01-11,210.20999999999998
114,241,2026-01-11,1037.65
115,103,2026-01-11,1363.82
116,226,2026-01-11,736.68
117,121,2026-01-11,2165.29
118,83,2026-01-11,5376.459999999999
119,238,2026-01-11,477.53
120,105,2026-01-11,1956.6799999999998
121,286,2026-01-11,34.61
122,172,2026-01-11,4430.38
123,74,2026-01-11,405.18
124,187,2026-01-11,573.3199999999999
125,224,2026-01-11,5483.6
126,25,2026-01-11,1978.2000000000003
127,230,2026-01-11,4687.33
128,12,2026-01-11,2309.5099999999998
129,143,2026-01-11,2877.21
130,288,2026-01-11,5419.27
131,21,2026-01-11,1119.4499999999998
132,152,2026-01-11,2812.32
133,256,2026-01-11,2257.62
134,292,2026-01-11,749.83
135,124,2026-01-11,1305.35
136,253,2026-01-11,1826.13
137,300,2026-01-11,1274.8600000000001
138,162,2026-01-11,2689.36
139,137,2026-01-11,326.65999999999997
140,151,2026-01-11,2855.06
141,88,2026-01-11,83.68
142,38,2026-01-11,1528.83
