product_name,category
Already,Clothing
Continue,Home
Since,Clothing
Interesting,Books
To,Beauty
Bank,Clothing
Law,Clothing
Into,Beauty
Spring,Clothing
After,Books
Line,Home
Effort,Books
Small,Books
Property,Beauty
Thank,Beauty
Others,Books
Low,Beauty
Impact,Home
Top,Beauty
Strong,Sports
Market,Clothing
Measure,Sports
Them,Books
Cause,Beauty
Coach,Home
Former,Sports
Understand,Electronics
Tonight,Sports
Green,Sports
Hundred,Beauty
Cause,Clothing
Sell,Books
Turn,Books
Instead,Books
Down,Clothing
Either,Books
Enter,Sports
Director,Electronics
Senior,Electronics
Material,Beauty
Imagine,Clothing
Work,Sports
General,Sports
Enough,Sports
Even,Home
Eight,Beauty
Success,Books
Quality,Electronics
Eye,Sports
Ask,Home
Woman,Sports
Key,Beauty
Year,Clothing
Serious,Books
Argue,Clothing
Bank,Home
Song,Home
Two,Sports
Certain,Clothing
Music,Books
Day,Sports
Particular,Sports
Fine,Books
Everyone,Sports
Democrat,Clothing
Site,Beauty
Avoid,Electronics
Do,Books
Election,Electronics
Grow,Sports
Official,Home
Growth,Sports
Happen,Sports
Moment,Books
Nor,Home
Mother,Sports
Program,Books
One,Sports
Success,Beauty
Walk,Home
Player,Beauty
Good,Books
Full,Electronics
Treatment,Beauty
Else,Electronics
Second,Clothing
Quickly,Beauty
Public,Electronics
Rich,Electronics
Forget,Books
Month,Electronics
Possible,Clothing
Statement,Home
Long,Beauty
Reduce,Sports
Suggest,Sports
Worry,Beauty
Once,Books
Year,Electronics
Into,Clothing
